R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,Y
0.665,0.751,0.011,0.778,0.103,0.133,-0.401,8.848,1,0.167,0.167,0.161,-0.615,-0.064,-0.382,-0.064,0
0.656,0.789,0.012,0.768,0.333,0.434,-1.624,28.58,1,0.166,0.166,0.17,-0.278,-0.093,-0.559,-0.093,0
0.788,0.885,0.039,0.799,1.381,1.729,-13.277,39.312,1,0.135,0.135,0.149,0.035,0.049,0.362,0.049,0
0.647,0.942,0.043,0.824,0.842,1.021,-16.494,22.525,1,0.195,0.195,0.222,-0.113,-0.095,-0.488,-0.095,0
0.715,1.193,0.07,0.844,1.045,1.238,7.645,21.025,1,0.239,0.239,0.338,-0.035,-0.037,-0.154,-0.037,0
0.791,1.061,0.007,0.776,1.809,2.332,40.693,376.404,1,0.135,0.135,0.185,-0.073,-0.132,-0.974,-0.132,0
0.491,1.248,0.016,0.899,0.87,0.968,4.864,75.43,1,0.075,0.075,0.104,0.016,0.014,0.191,0.014,0
1.077,1.137,0.239,0.603,0.769,1.275,10.566,6.069,1,0.278,0.278,0.524,0.074,0.057,0.204,0.057,1
0.987,1.033,0.335,0.706,0.663,0.939,29.065,2.894,1,0.057,0.057,0.084,0.049,0.033,0.574,0.033,1
1.169,1.27,0.144,0.787,0.566,0.719,3.385,6.349,1,0.05,0.05,0.081,0.149,0.084,1.682,0.084,1
1.218,1.3,0.121,0.799,0.557,0.698,3.025,7.475,1,0.035,0.035,0.057,0.104,0.058,1.66,0.058,1
1.205,1.327,0.1,0.872,0.683,0.783,3.181,10.407,1,0.034,0.034,0.051,0.106,0.072,2.147,0.072,1
1.374,1.419,0.126,0.859,0.655,0.763,2.581,8.575,1,0.027,0.027,0.045,0.18,0.118,4.379,0.118,1
1.17,1.198,0.164,0.837,0.58,0.693,4.197,5.061,1,0.027,0.027,0.039,0.051,0.03,1.08,0.03,1
1.145,1.21,0.128,0.712,0.495,0.696,4.006,6.566,1,0.005,0.005,0.009,0.034,0.017,3.378,0.017,1
1.851,1.855,0.594,0.769,1.533,1.992,4.321,6.22,1,0.086,0.086,0.207,0.067,0.103,1.2,0.103,1
1.363,1.367,0.117,0.802,0.946,1.18,4.396,13.75,1,0.087,0.087,0.148,0.094,0.089,1.028,0.089,1
1.352,1.359,0.396,0.741,0.935,1.262,4.782,4.328,1,0.107,0.107,0.196,0.123,0.115,1.078,0.115,1
1.144,1.149,0.326,0.709,0.962,1.357,10.435,4.787,1,0.122,0.122,0.198,0.053,0.051,0.418,0.051,1
1.078,1.084,0.216,0.626,0.896,1.43,18.363,7.195,1,0.161,0.161,0.279,0.063,0.057,0.352,0.057,1
1.006,1.009,0.246,0.636,0.879,1.384,159.83,5.685,1,0.158,0.158,0.251,0.065,0.057,0.362,0.057,1
1.066,1.072,0.112,0.797,0.966,1.212,18.084,3.679,1,0.103,0.103,0.138,0.065,0.062,0.608,0.062,1
1.194,1.195,0.359,0.949,1.049,1.106,6.786,0,1,0.055,0.055,0.069,0.037,0.039,0.701,0.039,1
0.508,1.039,0.063,0.313,0.172,0.55,14.546,9.014,1,0.312,0.312,1.037,-0.006,-0.001,-0.003,-0.001,0
0.478,1.043,0.067,0.312,0.106,0.34,8.305,5.323,1,0.312,0.312,1.041,-0.205,-0.022,-0.07,-0.022,0
0.536,1.096,0.105,0.319,0.133,0.418,4.764,4.371,1,0.307,0.307,1.054,-0.34,-0.045,-0.148,-0.045,0
0.703,1.27,0.136,0.326,0.174,0.535,2.517,4.98,1,0.292,0.292,1.137,-0.028,-0.005,-0.017,-0.005,0
0.675,1.413,0.1,0.302,0.201,0.665,2.277,9.43,1,0.292,0.292,1.366,-0.153,-0.031,-0.105,-0.031,0
0.794,1.542,0.098,0.345,0.222,0.645,1.834,10.14,1,0.17,0.17,0.759,-0.156,-0.035,-0.205,-0.035,0
0.755,1.556,0.106,0.345,0.202,0.585,1.637,8.55,1,1.043,1.043,4.706,-0.134,-0.027,-0.026,-0.027,0
0.93,1.752,0.155,0.366,0.209,0.571,1.331,6.433,1,1.021,1.021,4.89,-0.337,-0.07,-0.069,-0.07,0
0.48,0.804,0.412,0.449,0.102,0.228,-0.938,0.445,1,0.511,0.511,0.915,-1.134,-0.116,-0.227,-0.116,0
0.45,0.924,0.354,0.402,0.204,0.508,-6.201,1.325,1,0.509,0.509,1.169,-0.337,-0.069,-0.135,-0.069,0
0.525,1.036,0.391,0.398,0.199,0.5,14.306,1.326,1,0.497,0.497,1.293,-0.028,-0.006,-0.011,-0.006,0
0.699,1.215,0.533,0.481,0.246,0.51,2.882,1.162,1,0.564,0.564,1.424,-0.36,-0.088,-0.156,-0.088,0
0.862,1.574,0.653,0.605,0.384,0.634,1.739,1.529,1,0.462,0.462,1.201,-0.049,-0.019,-0.041,-0.019,0
0.458,1.032,0.375,0.581,0.212,0.366,11.79,1.006,1,0.461,0.461,0.818,-0.387,-0.082,-0.179,-0.082,0
0.643,1.275,0.498,0.538,0.316,0.587,2.722,1.503,1,0.512,0.512,1.212,-0.248,-0.078,-0.153,-0.078,0
0.748,1.41,0.549,0.517,0.413,0.8,2.754,2.055,1,0.493,0.493,1.344,-0.064,-0.027,-0.054,-0.027,0
0.004,0.743,0.01,0.843,0.129,0.153,-0.441,11.58,1,0.006,0.006,0.005,-0.117,-0.015,-2.685,-0.015,0
0.021,0.739,0.007,0.83,0.231,0.278,-0.786,27.894,1,0.004,0.004,0.004,-0.139,-0.032,-7.408,-0.032,0
0.025,0.735,0.028,0.806,0.335,0.416,-1.152,10.869,1,0.006,0.006,0.006,-0.068,-0.023,-3.672,-0.023,0
0.021,0.711,0.032,0.769,0.398,0.518,-1.272,11.38,1,0.006,0.006,0.006,-0.093,-0.037,-5.738,-0.037,0
0.018,0.717,0.047,0.749,0.479,0.64,-1.621,9.782,1,0.007,0.007,0.007,-0.081,-0.039,-5.225,-0.039,0
0.013,0.69,0.141,0.695,0.411,0.591,-1.317,2.887,1,0.009,0.009,0.009,-0.141,-0.058,-6.182,-0.058,0
0.013,0.44,0.008,0.689,0.474,0.688,-0.54,39.153,1,0.014,0.014,0.009,-0.182,-0.086,-6.234,-0.086,0
0.012,0.432,0.021,0.646,0.406,0.628,-0.478,13.175,1,0.014,0.014,0.01,-0.174,-0.071,-4.908,-0.071,0
0.216,0.495,0.004,0.24,0.008,0.035,-0.034,4.695,1,0.267,0.267,0.551,-0.143,-0.001,-0.005,-0.001,0
0.214,0.501,0.004,0.245,0.026,0.108,-0.108,14.607,1,0.265,0.265,0.543,-1.654,-0.044,-0.164,-0.044,0
0.264,0.542,0.004,0.244,0.118,0.482,-0.571,64.706,1,0.262,0.262,0.582,-0.513,-0.06,-0.23,-0.06,0
0.3,0.616,0.004,0.254,0,0,0,0.029,1,0.251,0.251,0.61,"-1619.87",-0.082,-0.324,-0.082,0
0.372,0.6,0.006,0.206,0.179,0.87,-1.307,91.833,1,0.221,0.221,0.644,-0.374,-0.067,-0.303,-0.067,0
0.29,0.456,0.004,0.212,0.214,1.01,-0.847,104.51,1,0.04,0.04,0.085,-0.384,-0.082,-2.07,-0.082,0
0.277,0.487,0.005,0.198,0.31,1.568,-1.488,159.265,1,0.014,0.014,0.036,-0.603,-0.187,-12.974,-0.187,0
0.322,0.602,0.007,0.179,0.307,1.719,-2.598,140.904,1,0.021,0.021,0.07,-0.019,-0.006,-0.277,-0.006,0
0.455,0.455,0.021,0.328,0.091,0.276,-0.23,6.069,1,0.278,0.278,0.386,0.411,0.037,0.134,0.037,1
0.441,0.441,0.039,0.317,0.091,0.288,-0.227,3.292,1,0.281,0.281,0.39,0.489,0.045,0.159,0.045,1
0.402,0.402,0.025,0.305,0.087,0.287,-0.193,4.603,1,0.242,0.242,0.32,0.521,0.046,0.188,0.046,1
0.369,0.369,0.023,0.294,0.086,0.291,-0.171,4.663,1,0.203,0.203,0.255,0.456,0.039,0.192,0.039,1
0.328,0.328,0.026,0.274,0.078,0.285,-0.139,3.653,1,0.164,0.164,0.197,0.162,0.013,0.077,0.013,1
0.341,0.341,0.036,0.29,0.07,0.242,-0.126,2.321,1,0.15,0.15,0.176,0.171,0.012,0.08,0.012,1
0.338,0.338,0.037,0.291,0.06,0.205,-0.105,1.853,1,0.139,0.139,0.161,0.155,0.009,0.067,0.009,1
0.336,0.336,0.044,0.293,0.076,0.258,-0.131,1.971,1,0.128,0.128,0.147,0.211,0.016,0.124,0.016,1
1.217,1.263,0.165,0.421,0.294,0.697,3.348,5.35,1,0.328,0.328,0.984,0.048,0.014,0.043,0.014,1
0.92,0.951,0.27,0.48,0.349,0.727,-14.256,2.557,1,0.149,0.149,0.295,0.05,0.018,0.118,0.018,1
0.932,1.002,0.15,0.531,0.484,0.911,396.8,6.088,1,0.128,0.128,0.241,0.041,0.02,0.153,0.02,1
0.865,1.102,0.124,0.583,0.414,0.709,7.693,6.29,1,0.099,0.099,0.187,0.041,0.017,0.171,0.017,1
0.897,1.155,0.116,0.551,0.461,0.836,6.227,8.356,1,0.066,0.066,0.137,0.047,0.022,0.332,0.022,1
1.006,1.286,0.124,0.633,0.044,0.07,0.315,0.725,1,0.093,0.093,0.188,0.27,0.012,0.129,0.012,1
1.074,1.32,0.156,0.694,0.268,0.387,1.596,3.282,1,0.081,0.081,0.155,0.076,0.02,0.252,0.02,1
1.33,1.527,0.345,0.659,0.356,0.54,1.563,2.391,1,0.11,0.11,0.255,0.08,0.028,0.259,0.028,1
0.547,1.781,0.129,0.737,0.72,0.978,2.23,13.534,1,0.245,0.245,0.591,0.028,0.02,0.084,0.02,1
0.644,1.516,0.194,0.731,0.709,0.969,2.846,7.593,1,0.157,0.157,0.325,0.026,0.018,0.115,0.018,1
0.762,1.471,0.101,0.715,0.639,0.893,2.788,13.075,1,0.106,0.106,0.219,0.032,0.02,0.191,0.02,1
0.931,1.529,0.115,0.805,0.853,1.059,3.062,14.103,1,0.105,0.105,0.2,0.056,0.048,0.455,0.048,1
1.099,1.458,0.058,0.804,1.18,1.467,4.675,37.002,1,0.448,0.448,0.813,0.088,0.104,0.233,0.104,1
0.856,1.427,0.505,0.736,1.9,2.581,8.629,7.283,1,0.484,0.484,0.938,0.122,0.232,0.479,0.232,1
1.111,2.388,0.124,0.746,0.003,0.004,0.007,0.084,1,0.688,0.688,2.202,48.648,0.158,0.23,0.158,1
1.19,2.19,0.189,0.804,0.003,0.003,0.006,0.036,1,0.633,0.633,1.725,67.871,0.171,0.27,0.171,1
3.758,5.628,3.337,0.695,0.899,1.293,1.573,2.181,1,0.046,0.046,0.375,0.07,0.063,1.352,0.063,1
2.535,5.207,2.211,0.673,0.767,1.14,1.411,2.685,1,0.063,0.063,0.487,0.076,0.059,0.933,0.059,1
4.445,7.685,3.871,0.615,0.692,1.125,1.293,2.234,1,0.07,0.07,0.873,0.061,0.042,0.602,0.042,1
1.356,2.91,1.083,0.713,0.387,0.543,0.827,1.459,1,0.059,0.059,0.241,0.016,0.006,0.104,0.006,1
1.376,4.46,1.229,0.64,0.974,1.523,1.963,5.528,1.037,0.092,0.095,0.664,0.072,0.07,0.738,0.068,1
1.25,4.051,1.116,0.64,1.828,2.857,3.794,10.373,1,0.114,0.114,0.72,0.044,0.08,0.706,0.08,1
0.466,2.03,0.239,0.679,1.588,2.34,4.611,19.908,1,0.107,0.107,0.32,0.051,0.081,0.756,0.081,1
1.349,2.278,1.212,0.682,2.018,2.96,5.277,5.566,1,0.093,0.093,0.309,0.069,0.139,1.504,0.139,1
0.42,1.538,0.047,0.563,0.705,1.252,3.582,41.199,1,0.192,0.192,0.525,0.045,0.032,0.165,0.032,1
0.516,1.5,0.038,0.565,0.631,1.117,3.348,44.1,1,0.198,0.198,0.525,0.03,0.019,0.097,0.019,1
0.75,1.628,0.078,0.512,0.679,1.327,3.44,27.546,1,0.25,0.25,0.795,0.025,0.017,0.069,0.017,1
1.005,1.809,0.235,0.503,0.799,1.589,3.553,12.251,1,0.283,0.283,1.018,0.082,0.066,0.233,0.066,1
176.671,177.639,0.042,0.425,0.006,0.014,0.014,59.379,0.01,0.327,0.003,1.369,0.053,0,0.097,0.032,1
223.488,224.686,0.114,41.4,0.657,0.016,0.016,31.291,1,37.997,37.997,206.218,0.08,0.052,0.001,0.052,1
1.15,2.034,0.193,0.474,0.53,1.118,2.2,11.793,1,0.371,0.371,1.59,0.047,0.025,0.068,0.025,1
2.033,3.645,0.464,0.417,0.574,1.378,1.899,10.817,1,0.47,0.47,4.108,0.132,0.076,0.161,0.076,1
0.368,0.403,0.003,0.353,0.093,0.262,-0.177,31.698,1,0.011,0.011,0.013,-0.276,-0.026,-2.273,-0.026,0
0.47,0.501,0.009,0.435,0.113,0.26,-0.261,14.973,1,0.01,0.01,0.011,-0.392,-0.044,-4.57,-0.044,0
0.49,0.511,0.011,0.503,0.106,0.211,-0.221,9.717,1,0.016,0.016,0.016,-0.225,-0.024,-1.523,-0.024,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.033,0.001,0.205,324.246,-0.156,4.706,1,0.036,0.036,0.027,-0.45,-0.092,-2.577,-0.092,0
0.568,0.614,0.051,0.691,0.4,0.579,-0.92,6.994,1,0.048,0.048,0.042,-0.337,-0.135,-2.833,-0.135,0
0.265,0.343,0.021,0.609,0.486,0.798,-0.417,13.21,1,0.05,0.05,0.028,-0.175,-0.085,-1.701,-0.085,0
0.635,0.779,0.01,0.542,0.041,0.076,-0.27,6.235,1,0.305,0.305,0.438,-1.805,-0.075,-0.246,-0.075,0
0.533,0.629,0.025,0.507,0.035,0.069,-0.117,1.757,1,0.194,0.194,0.24,0.163,0.006,0.029,0.006,0
0.52,0.622,0.01,0.504,0.122,0.243,-0.398,15.422,1,0.19,0.19,0.235,-0.017,-0.002,-0.011,-0.002,0
0.538,0.648,0.008,0.524,0.031,0.059,-0.109,4.553,1,0.191,0.191,0.237,0.012,0,0.002,0,0
0.544,0.654,0.007,0.53,0.052,0.099,-0.187,9.129,1,0.19,0.19,0.235,-0.148,-0.008,-0.041,-0.008,0
0.542,0.681,0.004,0.545,0.053,0.097,-0.206,17.787,1,0.199,0.199,0.249,-0.996,-0.052,-0.263,-0.052,0
0.558,0.72,0.011,0.545,0.132,0.241,-0.619,15.325,1,0.242,0.242,0.32,-0.908,-0.119,-0.492,-0.119,0
0.547,0.764,0.043,0.53,0.353,0.666,-2.162,11.755,1,0.008,0.008,0.011,-0.212,-0.075,-9.453,-0.075,0
1.158,1.235,0.106,0.547,0.321,0.588,3.085,6.838,1,0.073,0.073,0.165,0.195,0.063,0.858,0.063,1
0.713,0.762,0.077,0.466,0.739,1.585,-5.069,15.607,1.636,0.11,0.179,0.293,0.159,0.118,0.656,0.072,1
2.162,2.281,0.513,0.481,0.197,0.409,0.729,1.822,0.536,0.068,0.036,0.172,0.066,0.013,0.358,0.024,1
1.254,1.39,0.373,0.388,0.223,0.575,2.05,2.143,0.647,0.075,0.049,0.174,0.081,0.018,0.374,0.028,1
1.059,1.166,0.205,0.45,0.417,0.927,6.524,5.283,1,0.106,0.106,0.274,0.118,0.049,0.466,0.049,1
1.251,1.35,0.287,0.499,0.457,0.915,3.531,4.302,1,0.103,0.103,0.277,0.118,0.054,0.527,0.054,1
1.257,1.375,0.136,0.514,0.317,0.617,2.263,6.235,1,0.114,0.114,0.305,0.016,0.005,0.044,0.005,1
1.421,1.586,0.162,0.449,0.326,0.726,1.964,7.122,1,0.119,0.119,0.419,0.031,0.01,0.086,0.01,1
5.729,5.75,5.726,0.018,0,0,0,0,1,0.02,0.02,6.498,0,-0.003,-0.161,-0.003,0
7.708,7.721,7.558,0.02,0,0,0,0,1,0.075,0.075,29.288,0,-0.005,-0.073,-0.005,0
11.721,11.742,11.574,0.027,0,0,0,0,1,0.075,0.075,33.039,0,-0.005,-0.062,-0.005,0
18.623,18.629,18.355,0.031,0,0,0,0,1,0.07,0.07,42.566,0,-0.167,-2.381,-0.167,0
38.798,38.813,38.213,0.031,0,0,0,0,1,0.99,0.99,"1227.90",0,0,0,0,0
2.401,3.649,0.817,0.44,0.271,0.616,0.848,2.75,1,0.487,0.487,4.037,-0.098,-0.027,-0.055,-0.027,0
"1602.48","2443.90",304.14,0.431,0.242,0.561,0.561,4.505,0.12,0.988,0.118,671.442,-0.193,-0.047,-0.394,-0.389,0
19.21,19.217,9.582,0.061,0,0,0,0,1,0.973,0.973,304.194,0,0,0,0,0
1.626,1.704,0.491,0.753,1.958,2.602,6.297,9.03,1,0.025,0.025,0.057,0.129,0.252,10.066,0.252,1
1.593,1.756,0.413,0.75,2.109,2.812,6.532,11.941,1,0.023,0.023,0.054,0.147,0.309,13.503,0.309,1
1.031,1.227,0.288,0.681,1.653,2.429,13.151,10.331,1,0.019,0.019,0.035,0.151,0.249,12.845,0.249,1
0.879,0.94,0.268,0.565,2.209,3.912,-61.331,13.717,1,0.034,0.034,0.056,0.083,0.183,5.423,0.183,1
0.708,0.713,0.271,0.519,1.721,3.317,-8.251,8.729,1,0.045,0.045,0.062,0.105,0.181,4.01,0.181,1
0.41,0.923,0.068,0.643,1.615,2.512,-30.061,33.963,0.851,0.068,0.058,0.083,0.02,0.033,0.573,0.039,1
2.081,2.166,0.16,0.643,1.199,1.866,3.466,25.224,1,0.596,0.596,2.009,0.015,0.018,0.031,0.018,1
1.356,1.395,0.098,0.802,1.224,1.526,5.388,21.68,1,0.313,0.313,0.545,0.013,0.016,0.049,0.016,1
1.616,2.113,1.067,0.793,1.094,1.379,2.619,2.731,1.136,0.002,0.002,0.005,0.239,0.261,145.471,0.23,1
2.071,2.888,1.415,0.797,1.066,1.337,2.045,2.727,0.991,0.001,0.001,0.003,0.244,0.26,372.616,0.262,1
1.695,2.364,1.159,0.797,1.159,1.454,2.52,2.966,1,0.001,0.001,0.003,0.248,0.288,257.452,0.288,1
1.614,2.14,1.211,0.749,1.072,1.432,2.689,2.532,1,0.003,0.003,0.009,0.183,0.196,63.426,0.196,1
1.551,1.93,1.257,0.723,0.823,1.137,2.36,1.747,1,0.001,0.001,0.003,0.203,0.167,144.455,0.167,1
2.124,2.616,1.606,0.638,0.879,1.379,2.232,2.246,1,0.005,0.005,0.022,0.242,0.213,39.408,0.213,1
1.415,1.668,1.17,0.676,0.774,1.145,2.858,1.632,1,0.005,0.005,0.011,0.281,0.217,48.133,0.217,1
1.268,2.204,0.668,0.579,1.027,1.775,3.25,5.859,1,0.001,0.001,0.002,0.244,0.25,487.771,0.25,1
0.418,0.489,0.012,0.982,0.047,0.048,-0.046,2.024,1,0.121,0.121,0.06,-0.224,-0.01,-0.087,-0.01,0
0.423,0.485,0.007,0.97,0.022,0.022,-0.021,1.447,1,0.121,0.121,0.06,-29.032,-0.625,-5.176,-0.625,0
0.668,0.746,0.128,0.966,0.656,0.679,-1.995,3.955,1,0.102,0.102,0.079,-0.868,-0.57,-5.578,-0.57,0
0.691,0.989,0.005,0.984,0.607,0.617,-57.936,122.135,1,0.024,0.024,0.024,-0.069,-0.042,-1.732,-0.042,0
0.641,1.019,0.006,0.98,0.563,0.574,30.082,91.576,1,0.019,0.019,0.02,-0.118,-0.067,-3.525,-0.067,0
0.43,1.133,0.045,0.982,0.714,0.727,6.178,18.418,1,0.017,0.017,0.02,0.074,0.053,3.054,0.053,0
1.158,1.642,0.338,0.987,0.708,0.717,1.833,3.478,1,0.283,0.283,0.47,0.052,0.037,0.13,0.037,0
1.072,2.199,0.632,0.97,0.108,0.112,0.205,0.389,1,0.252,0.252,0.572,-0.138,-0.015,-0.059,-0.015,0
0.594,1.01,0.15,0.971,2.766,2.849,295.92,19.239,1,0.038,0.038,0.04,0,0,-0.009,0,0
0.522,1.006,0.06,0.967,2.383,2.465,423.662,41.614,1,0,0,0,0,0,-2.339,0,0
0.226,0.841,0.051,0.977,1.658,1.697,-8.983,28.003,1,0.006,0.006,0.005,0.001,0.001,0.171,0.001,0
0.077,0.702,0.026,0.913,2.292,2.511,-5.906,67.46,1,0.034,0.034,0.026,-0.077,-0.176,-5.166,-0.176,0
0.124,0.426,0.052,0.528,5.153,9.759,-7.253,79.558,1,0.134,0.134,0.108,-0.019,-0.098,-0.732,-0.098,0
0.376,0.595,0.278,0.601,4.572,7.612,-11.174,16.281,1,0.245,0.245,0.243,-0.043,-0.194,-0.793,-0.195,0
0.09,0.695,0.006,0.464,3.828,8.255,-18.832,931.056,1,0.402,0.402,0.603,-0.018,-0.069,-0.172,-0.069,0
0.211,0.789,0.114,0.536,4.192,7.823,-29.255,54.373,1,0.32,0.32,0.472,-0.027,-0.112,-0.349,-0.112,0
1.166,1.325,0.732,0.671,0.261,0.389,1.584,0.703,1,0.494,0.494,0.976,0.139,0.036,0.073,0.036,1
0.106,0.133,0.02,0.079,0.164,2.079,-0.32,13.654,1,0.41,0.41,0.694,0.12,0.02,0.048,0.02,1
0.114,0.141,0.035,0.087,0.13,1.489,-0.244,5.939,1,0.381,0.381,0.616,0.181,0.023,0.061,0.023,1
0.097,0.123,0.003,0.079,0.125,1.578,-0.222,73.163,1,0.357,0.357,0.556,0.151,0.019,0.053,0.019,1
0.057,0.071,0,0.046,0.093,2.027,-0.154,363.85,1,0.353,0.353,0.545,0.187,0.017,0.049,0.017,1
0.157,0.157,0.084,0.105,0.083,0.786,-0.146,1.474,1,0.331,0.331,0.494,0.023,0.002,0.006,0.002,1
0.557,0.557,0.163,0.524,0.609,1.161,-1.462,3.963,1,0.059,0.059,0.063,0.068,0.041,0.702,0.041,1
0.458,0.458,0.001,0.45,0.499,1.109,-0.938,757.759,1,0.018,0.018,0.019,-0.021,-0.01,-0.566,-0.01,1
1.508,2.09,0.657,0.968,1.38,1.426,2.734,4.537,1,0.537,0.537,1.159,0.341,0.471,0.878,0.471,1
1.393,1.996,0.966,0.947,1.545,1.631,3.269,3.368,1,0.525,0.525,1.107,0.287,0.443,0.843,0.443,1
7.082,9.203,5.544,0.978,1.164,1.191,1.336,1.977,1,0.894,0.894,8.414,0.273,0.318,0.355,0.318,1
3.878,4.792,2.485,0.983,1.165,1.185,1.498,2.285,1,0.795,0.795,3.876,0.214,0.25,0.314,0.25,1
5.7,5.7,1.84,0.986,1.454,1.475,1.789,4.572,1,0.827,0.827,4.783,0.2,0.291,0.352,0.291,1
6.449,6.449,3.451,0.982,1.104,1.125,1.331,2.101,1,0.848,0.848,5.568,0.284,0.313,0.369,0.313,1
2.619,3.203,1.689,0.988,0.211,0.213,0.31,0.405,1,0.692,0.692,2.243,1.669,0.352,0.509,0.352,1
2.917,3.72,1.991,0.972,1.468,1.509,2.064,2.819,1,0.739,0.739,2.825,0.368,0.54,0.731,0.54,1
9.141,9.16,2.427,0.132,0,0.001,0.001,0.002,1,0.863,0.863,60.098,-173.54,-0.015,-0.017,-0.015,0
2.376,2.38,0.631,0.132,0.001,0.004,0.007,0.016,1.084,0.878,0.951,17.221,-48.425,-0.027,-0.028,-0.025,0
6.977,6.98,2.39,0.166,0.015,0.088,0.103,0.257,1,0.949,0.949,39.838,-0.646,-0.009,-0.01,-0.009,0
4.583,4.584,2.127,0.198,0.003,0.014,0.018,0.03,1,0.894,0.894,20.74,-6.124,-0.017,-0.019,-0.017,0
7.294,7.298,4.065,0.268,0.012,0.046,0.053,0.083,1,0.88,0.88,23.936,-1.44,-0.018,-0.02,-0.018,0
3.148,3.148,0.967,0.26,0,0,0,0,1,0.744,0.744,9.019,0,-0.01,-0.013,-0.01,0
1.429,1.429,0.509,0.557,0,0,0,0,1,0.585,0.585,1.501,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.878,1.344,0.321,0.919,0.844,0.918,3.588,3.838,1,0.025,0.025,0.036,0.011,0.009,0.363,0.009,1
0.903,1.371,0.13,0.885,0.886,1.001,3.701,10.579,1,0.005,0.005,0.008,0.018,0.016,3.262,0.016,1
0.874,1.29,0.042,0.889,0.875,0.984,4.379,30.167,1,-0.002,-0.002,-0.002,0.021,0.019,-11.607,0.019,1
0.933,1.304,0.079,0.864,1.177,1.363,5.841,22.643,1,-0.019,-0.019,-0.029,0.013,0.015,-0.812,0.015,1
0.844,1.296,0.055,0.895,1.289,1.44,6.306,34.135,1,0.063,0.063,0.091,0.01,0.013,0.203,0.013,1
0.94,1.416,0.052,0.873,1.4,1.605,5.46,43.528,1,0.119,0.119,0.194,0.045,0.063,0.525,0.063,1
0.823,1.243,0.074,0.863,1.402,1.624,8.294,27.167,1,0.094,0.094,0.136,0.014,0.019,0.206,0.019,1
0.742,1.188,0.122,0.858,0.977,1.138,7.175,11.046,1,0.084,0.084,0.117,-0.086,-0.084,-0.996,-0.084,1
0.6,0.603,0.126,0.23,0.27,1.178,-1.791,5.627,1,0.081,0.081,0.214,0.237,0.064,0.789,0.064,1
0.72,0.724,0.254,0.275,0.228,0.829,-2.171,2.36,1,0.061,0.061,0.162,0.319,0.073,1.184,0.073,1
0.614,0.617,0,0.223,0.198,0.889,-1.43,0,1,0.071,0.071,0.198,0.405,0.08,1.123,0.08,1
0.717,0.719,0.535,0.243,0.169,0.697,-1.779,0.936,1,0.079,0.079,0.232,0.3,0.051,0.645,0.051,1
0.82,0.821,0.647,0.276,0.156,0.564,-2.594,0.717,1,0.075,0.075,0.222,0.451,0.07,0.943,0.07,1
0.715,0.716,0.522,0.248,0.148,0.599,-1.509,0.822,1,0.018,0.018,0.052,0.435,0.065,3.603,0.065,1
0.805,0.807,0.636,0.266,0.119,0.448,-1.869,0.568,1,0.017,0.017,0.051,0.644,0.077,4.556,0.077,1
0.907,0.908,0.7,0.323,0.109,0.337,-3.346,0.438,1,0.021,0.021,0.06,0.585,0.064,2.998,0.064,1
0.322,0.416,0.052,0.219,0.449,2.054,-1.464,16.475,1,0.077,0.077,0.146,0.325,0.146,1.9,0.146,0
0.43,0.558,0.059,0.268,0.559,2.086,-2.636,19.904,1,0.065,0.065,0.135,-0.44,-0.246,-3.788,-0.246,0
-0.782,-0.877,-0.098,0.382,0.513,1.341,0.627,11.988,-1,0.052,-0.052,0.12,-0.409,-0.21,4.007,0.21,0
-0.581,-0.657,-0.117,0.385,0.553,1.436,0.57,8.085,-1,0.059,-0.059,0.101,-0.427,-0.236,3.98,0.236,0
-0.296,-0.402,-0.192,0.225,0.602,2.67,0.766,5.603,-1,0.056,-0.056,0.1,-0.405,-0.244,4.351,0.244,0
0.496,0.572,0.353,0.22,-0.372,-1.687,2.25,-2.733,1,0.035,0.035,0.091,0.553,-0.206,-5.833,-0.206,0
1.747,1.843,1.678,0.563,0.297,0.528,1.154,0.58,1,0.31,0.31,1.013,0.553,0.164,0.53,0.164,0
1.256,1.339,1.217,0.482,0.362,0.752,2.97,0.827,1,0.027,0.027,0.076,0.552,0.2,7.35,0.2,0
1.158,1.235,0.106,0.547,0.321,0.588,3.085,6.838,1,0.073,0.073,0.165,0.195,0.063,0.858,0.063,1
0.713,0.762,0.077,0.466,0.739,1.585,-5.069,15.607,1.636,0.11,0.179,0.293,0.159,0.118,0.656,0.072,1
2.162,2.281,0.513,0.481,0.197,0.409,0.729,1.822,0.536,0.068,0.036,0.172,0.066,0.013,0.358,0.024,1
1.254,1.39,0.373,0.388,0.223,0.575,2.05,2.143,0.647,0.075,0.049,0.174,0.081,0.018,0.374,0.028,1
1.059,1.166,0.205,0.45,0.417,0.927,6.524,5.283,1,0.106,0.106,0.274,0.118,0.049,0.466,0.049,1
1.251,1.35,0.287,0.499,0.457,0.915,3.531,4.302,1,0.103,0.103,0.277,0.118,0.054,0.527,0.054,1
1.257,1.375,0.136,0.514,0.317,0.617,2.263,6.235,1,0.114,0.114,0.305,0.016,0.005,0.044,0.005,1
