no_of_ifs,no_of_switches,no_of_loop,no_of_break,priority_queue_present,no_of_sort,hash_set_present,hash_map_present,recursion_present,nested_loop_depth,noOfVariables,noOfMethods,noOfJumps,noOfStatements,complexity
38,1,8,0,0,0,0,0,1,3,98,29,42,127,nlogn
1,0,1,0,0,1,0,0,0,1,7,2,0,8,nlogn
7,0,4,0,0,0,0,0,0,1,29,4,2,35,nlogn
5,0,6,0,0,0,0,0,0,2,22,4,3,26,nlogn
1,0,4,0,0,0,0,0,0,2,19,3,0,17,nlogn
3,0,3,1,0,1,0,0,0,1,17,4,5,15,nlogn
5,0,3,1,1,0,0,0,0,2,12,1,1,24,nlogn
4,0,4,1,0,0,0,0,0,2,14,1,1,26,nlogn
7,0,10,1,0,0,0,0,0,2,27,5,4,34,nlogn
7,0,3,0,0,1,0,0,0,1,22,5,2,27,nlogn
5,0,19,0,0,0,1,0,1,2,58,11,1,65,nlogn
1,0,1,0,0,1,0,0,0,1,6,1,0,8,nlogn
0,0,1,0,0,1,0,0,0,1,9,3,2,7,nlogn
3,0,4,1,0,1,0,0,0,1,17,3,3,22,nlogn
4,0,4,0,0,0,0,0,1,1,25,6,6,26,nlogn
2,0,3,0,0,0,0,0,0,1,10,2,2,11,nlogn
4,0,5,0,0,0,0,0,0,2,24,5,3,25,nlogn
2,0,2,0,0,1,0,0,0,1,10,1,1,14,nlogn
2,0,2,0,0,0,0,0,0,1,10,1,0,12,nlogn
3,0,4,1,0,1,0,0,0,1,24,4,3,18,nlogn
2,0,4,0,0,0,0,0,1,1,20,4,3,19,nlogn
3,0,5,0,1,1,0,0,0,1,24,3,2,26,nlogn
19,0,5,0,0,0,0,0,1,2,37,10,17,53,nlogn
6,0,3,0,0,0,0,0,0,1,20,6,6,14,nlogn
1,0,3,0,0,1,0,0,0,1,12,1,0,17,nlogn
5,0,2,0,0,0,0,0,1,1,23,4,2,27,nlogn
5,0,2,0,0,0,0,0,0,1,29,3,2,39,nlogn
4,1,5,4,0,0,0,0,0,2,29,2,5,36,nlogn
9,0,4,0,0,0,0,0,0,1,42,8,7,56,nlogn
3,0,2,0,0,0,0,0,0,1,20,5,2,24,nlogn
21,0,21,1,0,0,0,0,1,2,133,39,25,96,nlogn
2,0,2,0,0,1,0,0,0,1,15,1,0,16,nlogn
9,0,6,0,0,1,0,0,0,1,29,6,5,37,nlogn
1,0,3,0,0,1,0,0,0,1,18,5,4,18,nlogn
1,0,2,0,0,1,0,0,0,1,16,3,3,16,nlogn
2,0,3,0,0,1,0,0,0,1,15,3,2,15,nlogn
4,0,5,0,0,0,0,0,1,2,27,6,6,21,nlogn
4,0,4,0,0,0,0,0,0,1,16,1,0,22,nlogn
